Glycans,Adjusted_HF,Weighted_Adjusted_HF,Count
HexNAc(4)Hex(5),-0.46686945990517387,-7.853952115948389,14
HexNAc(4)Hex(5)Fuc(1),-0.6796674912389195,-5.716882757807143,7
HexNAc(5)Hex(6)Fuc(1),-0.9958585858585867,-4.786547919888129,4
HexNAc(4)Hex(5)NeuAc(1),-0.2606874871160579,-4.385437936874872,14
HexNAc(5)Hex(6),-0.8658585858585859,-4.161708973453799,4
HexNAc(5)Hex(5),-2.4949999999999974,-2.9980253295262327,1
HexNAc(5)Hex(4),-1.7849999999999966,-2.1448798449716713,1
HexNAc(3)Hex(6)Fuc(1),-1.5366666666666688,-1.84647919427067,1
HexNAc(3)Hex(4)Fuc(1),-0.2748476190476186,-1.6513028530355485,5
HexNAc(3)Hex(5)NeuAc(1),-0.3208333333333317,-1.1565528575827606,3
HexNAc(4)Hex(4)Fuc(1),-0.3287857142857149,-0.7901466127574747,2
HexNAc(4)Hex(6)NeuAc(1),-0.6499999999999986,-0.7810486830429054,1
HexNAc(2)Hex(3),-0.1537499999999996,-0.7389922154944419,4
HexNAc(5)Hex(6)Fuc(1)NeuAc(1),-0.30666666666666487,-0.7369895265635598,2
HexNAc(3)Hex(6),-0.5842857142857127,-0.7020855194825235,1
HexNAc(2)Hex(6),-0.18976190476190524,-0.6840613191046144,3
HexNAc(2)Hex(7),-0.2821428571428566,-0.6780532523119734,2
HexNAc(2)Hex(8),-0.2821428571428566,-0.6780532523119734,2
HexNAc(3)Hex(3),-0.07365079365079404,-0.5309986651017025,6
HexNAc(4)Hex(3)Fuc(1),-0.2037857142857149,-0.4897432731255874,2
HexNAc(5)Hex(5)Fuc(1),-0.3039999999999985,-0.3652904609923734,1
HexNAc(3)Hex(4)NeuAc(1),-0.06750000000000018,-0.2433267051018302,3
HexNAc(3)Hex(5),-0.07666666666666622,-0.18424738164089033,2
HexNAc(4)Hex(4)Fuc(3)NeuAc(1),-0.125,-0.1502016698159439,1
HexNAc(4)Hex(4),-0.04119047619047637,-0.14848507930376292,3
HexNAc(4)Hex(3),-0.024392857142856883,-0.11724313198204503,4
HexNAc(3)Hex(3)Fuc(2)NeuAc(2),0.0,-5.657695225321997e-16,2
HexNAc(3)Hex(5)Fuc(1),0.0,-5.657695225321997e-16,2
HexNAc(5)Hex(5)Fuc(1)NeuAc(1),0.0,-2.8288476126609987e-16,1
HexNAc(5)Hex(6)NeuAc(1),0.0,-2.8288476126609987e-16,1
HexNAc(4)Hex(7)NeuAc(1),0.0,-2.8288476126609987e-16,1
HexNAc(5)Hex(8),0.0,-2.8288476126609987e-16,1
HexNAc(2)Hex(3)Fuc(1),0.0,-2.8288476126609987e-16,1
HexNAc(3)Hex(4)Fuc(1)NeuAc(1),0.0,-2.8288476126609987e-16,1
HexNAc(2)Hex(5)Fuc(1),0.0,-2.8288476126609987e-16,1
HexNAc(3)Hex(4),0.03666666666666529,0.044059156479341534,1
HexNAc(5)Hex(4)Fuc(1),0.06642857142857217,0.07982145881647351,1
HexNAc(2)Hex(5),0.024999999999999762,0.09012100188956446,3
HexNAc(5)Hex(3)Fuc(1),0.04121428571428609,0.09904727255291404,2
HexNAc(3)Hex(3)Fuc(1),0.0756071428571432,0.3634022114289751,4
HexNAc(4)Hex(4)NeuAc(1),0.4349999999999987,0.5227018109594821,1
HexNAc(3)Hex(3)Fuc(2),0.36499999999999844,0.8771777517251065,2
HexNAc(5)Hex(6)Fuc(1)NeuAc(2),1.0454545454545432,1.2562321475515257,1
HexNAc(5)Hex(6)NeuAc(2),1.105454545454542,1.3283289490631771,1
HexNAc(4)Hex(4)Fuc(2)NeuAc(1),0.629999999999999,1.514032831744709,2
HexNAc(3)Hex(3)Fuc(1)NeuAc(2),1.7033333333333331,2.0467480873585915,1
HexNAc(4)Hex(4)Fuc(1)NeuAc(1),0.574142857142857,2.069693180538093,3
HexNAc(4)Hex(5)Fuc(2)NeuAc(1),0.8925000000000001,2.144879844971675,2
HexNAc(4)Hex(5)Fuc(1)NeuAc(1),0.2511242784992789,2.4140343015626065,8
HexNAc(3)Hex(3)NeuAc(1),0.6237500000000002,2.998025329526235,4
HexNAc(4)Hex(5)Fuc(1)NeuAc(2),0.8783080808080808,4.221546891206735,4
HexNAc(5)Hex(6)NeuAc(3),2.6246885521885504,9.46158247885228,3
HexNAc(4)Hex(5)NeuAc(2),0.5777014505961886,13.189301825265334,19
