shorthand_glycan,longhand_glycan,Adjusted_HF,Z_Adjusted_HF,Weighted_Adjusted_HF,Scaled_HF,Count,matrix
H4N3S1,Hex(4)HexNAc(3)NeuAc(1),0.266124082,9.69E-02,11.9212531,0.009469926,123,csf
H4N3S1F1,Hex(4)HexNAc(3)NeuAc(1)Fuc(1),-0.799535296,-0.291185846,-14.55929231,-0.011565514,50,csf
H4N4F1,Hex(4)HexNAc(4)Fuc(1),-1.253556448,-0.456537562,-12.78305175,-0.010154516,28,csf
H4N4F2,Hex(4)HexNAc(4)Fuc(2),-0.71649195,-0.26094197,-0.782825909,-0.000621856,3,csf
H4N4S1,Hex(4)HexNAc(4)NeuAc(1),0.468924151,1.71E-01,1.878572266,0.001492288,11,csf
H4N4S1F1,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0.870999035,3.17E-01,7.295887528,0.005795659,23,csf
H4N5F1,Hex(4)HexNAc(5)Fuc(1),0.836013263,3.04E-01,2.740238079,0.002176772,9,csf
H4N5F2,Hex(4)HexNAc(5)Fuc(2),-0.658386787,-0.239780426,-0.239780426,-0.000190475,1,csf
H4N5S1F1,Hex(4)HexNAc(5)NeuAc(1)Fuc(1),1.15259458,4.20E-01,3.358142959,0.002667619,8,csf
H4N5S2,Hex(4)HexNAc(5)NeuAc(2),-1.25125573,-0.455699655,-0.455699655,-0.000361996,1,csf
H4N5S2F1,Hex(4)HexNAc(5)NeuAc(2)Fuc(1),1.959261735,7.14E-01,2.854204381,0.002267304,4,csf
H5N3F1,Hex(5)HexNAc(3)Fuc(1),0.464513852,0.169173093,0.338346186,0.000268773,2,csf
H5N4F1,Hex(5)HexNAc(4)Fuc(1),-0.60874102,-0.221699742,-4.212295101,-0.003346135,19,csf
H5N4F2,Hex(5)HexNAc(4)Fuc(2),-0.144883531,-0.052765693,-0.791485389,-0.000628735,15,csf
H5N4S1,Hex(5)HexNAc(4)NeuAc(1),-0.67788683,-0.246882222,-43.45127105,-0.034516532,176,csf
H5N4S1F1,Hex(5)HexNAc(4)NeuAc(1)Fuc(1),-0.082965987,-0.030215703,-1.87337359,-0.001488158,62,csf
H5N4S1F2,Hex(5)HexNAc(4)NeuAc(1)Fuc(2),1.08593972,3.95E-01,3.163940632,0.00251335,8,csf
H5N4S1F3,Hex(5)HexNAc(4)NeuAc(1)Fuc(3),0,-1.19E-16,-1.19E-16,-9.43E-20,1,csf
H5N4S2,Hex(5)HexNAc(4)NeuAc(2),0.047797069,1.74E-02,4.560738538,0.003622929,262,csf
H5N4S2F1,Hex(5)HexNAc(4)NeuAc(2)Fuc(1),0.769737093,0.280333524,26.35135123,0.020932811,94,csf
H5N4S2F2,Hex(5)HexNAc(4)NeuAc(2)Fuc(2),1.435349932,5.23E-01,2.613728166,0.002076276,5,csf
H5N5F1,Hex(5)HexNAc(5)Fuc(1),0.591283221,0.215341719,0.861366877,0.000684247,4,csf
H5N5F2,Hex(5)HexNAc(5)Fuc(2),-0.599893737,-0.218477616,-0.218477616,-0.000173553,1,csf
H5N5S1,Hex(5)HexNAc(5)NeuAc(1),-1.118125466,-0.40721443,-6.515430882,-0.005175685,16,csf
H5N5S1F1,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0.408582037,0.14880307,1.041621487,0.000827436,7,csf
H5N5S1F2,Hex(5)HexNAc(5)NeuAc(1)Fuc(2),1.261499854,0.459430502,1.378291506,0.001094878,3,csf
H5N5S2,Hex(5)HexNAc(5)NeuAc(2),0.795740481,2.90E-01,5.506272163,0.004374036,19,csf
H5N5S2F1,Hex(5)HexNAc(5)NeuAc(2)Fuc(1),0.162772913,0.059280896,0.82993254,0.000659276,14,csf
H5N6S2F1,Hex(5)HexNAc(6)NeuAc(2)Fuc(1),0.164008198,0.059730779,0.059730779,4.74E-05,1,csf
H6N2P1,Hex(6)HexNAc(2)Phospho(1),4.84E-16,5.93E-17,6.51E-16,5.22E-19,11,csf
H6N5F1,Hex(6)HexNAc(5)Fuc(1),0.692098802,0.252058135,0.252058135,0.000200228,1,csf
H6N5F3,Hex(6)HexNAc(5)Fuc(3),-0.512531913,-0.186660976,-0.373321952,-0.000296557,2,csf
H6N5S1,Hex(6)HexNAc(5)NeuAc(1),-0.399723151,-0.145576717,-1.892497327,-0.001503349,13,csf
H6N5S1F1,Hex(6)HexNAc(5)NeuAc(1)Fuc(1),-0.322769218,-0.117550568,-0.352651703,-0.000280137,3,csf
H6N5S1F3,Hex(6)HexNAc(5)NeuAc(1)Fuc(3),0.562008344,0.204679989,0.204679989,0.000162592,1,csf
H6N5S2,Hex(6)HexNAc(5)NeuAc(2),1.72E+00,6.27E-01,21.32155697,0.016937277,34,csf
H6N5S2F1,Hex(6)HexNAc(5)NeuAc(2)Fuc(1),1.209414432,4.40E-01,5.725997043,0.004548579,13,csf
H6N5S3,Hex(6)HexNAc(5)NeuAc(3),2.282647647,0.831326259,30.75907158,0.024434187,37,csf
H6N5S3F1,Hex(6)HexNAc(5)NeuAc(3)Fuc(1),1.821605893,0.663417683,21.89278354,0.017391044,33,csf
H6N5S3F3,Hex(6)HexNAc(5)NeuAc(3)Fuc(3),1.014268457,0.369390345,0.369390345,0.000293434,1,csf
H6N6F1,Hex(6)HexNAc(6)Fuc(1),-0.098481137,-0.035866226,-0.071732451,-5.70E-05,2,csf
H6N6S1,Hex(6)HexNAc(6)NeuAc(1),-0.804121348,-0.292856058,-0.585712116,-0.000465274,2,csf
H6N6S1F1,Hex(6)HexNAc(6)NeuAc(1)Fuc(1),-0.578951628,-0.210850628,-0.421701257,-0.000334988,2,csf
H6N6S2,Hex(6)HexNAc(6)NeuAc(2),2.782216195,1.01E+00,6.079596344,0.004829469,6,csf
H6N6S2F1,Hex(6)HexNAc(6)NeuAc(2)Fuc(1),0.252408103,0.091925481,0.183850963,0.000146046,2,csf
H7N6S1F3,Hex(7)HexNAc(6)NeuAc(1)Fuc(3),-0.387356537,-0.141072873,-0.141072873,-0.000112065,1,csf
H7N6S2,Hex(7)HexNAc(6)NeuAc(2),-0.36777232,-0.133940421,-0.535761685,-0.000425595,4,csf
H7N6S3,Hex(7)HexNAc(6)NeuAc(3),0.319993614,0.116539709,0.466158838,0.000370304,4,csf
H7N6S4,Hex(7)HexNAc(6)NeuAc(4),2.248473822,8.19E-01,4.094401809,0.003252484,5,csf
H7N7F1,Hex(7)HexNAc(7)Fuc(1),2.073511962,0.755160326,0.755160326,0.000599879,1,csf
H7N7S3F1,Hex(7)HexNAc(7)NeuAc(3)Fuc(1),0.857872554,0.312431917,0.312431917,0.000248188,1,csf
H8N7S1,Hex(8)HexNAc(7)NeuAc(1),0,-1.19E-16,-1.19E-16,-9.43E-20,1,csf
H9,Hex(9),12.22730792,0.083799102,0.41899551,4.09E-06,5,mouse-brain
N1,HexNAc(1),-47.82742376,-0.327782304,-36.38383573,-0.000355255,111,mouse-brain
N1H1,HexNAc(1)dHex(1),3.595204545,0.024639513,0.049279026,4.81E-07,2,mouse-brain
N1H1,HexNAc(1)dHex(1),55.25927407,0.305602001,0.305602001,3.57E-05,1,milk
N1H2,HexNAc(1)dHex(2),-28.71426931,-0.196791477,-16.13690109,-0.000157562,82,mouse-brain
N2,HexNAc(2),-20.85385438,-0.142920607,-5.716824277,-5.58E-05,40,mouse-brain
N2F1,HexNAc(2)dHex(1),1.658409091,0.011365805,0.011365805,1.11E-07,1,mouse-brain
N2H10,HexNAc(2)Hex(10),-4.202833357,-0.214602185,-340.7882705,-0.001554309,1588,mouse-tissues
N2H11,HexNAc(2)Hex(11),-14.50231517,-0.74050724,-11.1076086,-5.07E-05,15,mouse-tissues
N2H11,HexNAc(2)Hex(11),0,-1.19E-16,-1.19E-16,-9.43E-20,1,csf
N2H12,HexNAc(2)Hex(12),0.922074714,0.047082345,1.177058617,5.37E-06,25,mouse-tissues
N2H1F1,Hex(1)HexNAc(2)dHex(1),-5.40851718,-0.037066939,-0.111200818,-1.09E-06,3,mouse-brain
N2H2,Hex(2)HexNAc(2),-46.51039755,-0.318756146,-68.53257134,-0.000669159,215,mouse-brain
N2H2,Hex(2)HexNAc(2),-100.3173759,-0.554788157,-1.109576313,-0.000129634,2,milk
N2H2F1,Hex(2)HexNAc(2)dHex(1),11.35406927,0.077814415,2.723504512,2.66E-05,35,mouse-brain
N2H2F1,Hex(2)HexNAc(2)dHex(1),-54.59803333,-0.301945122,-0.301945122,-3.53E-05,1,milk
N2H3,HexNAc(2)Hex(3),-18.36667012,-0.125874843,-94.28025725,-0.000920562,749,mouse-brain
N2H3,HexNAc(2)Hex(3),-0.15375,-0.184748054,-0.738992215,-0.019696808,4,serum
N2H3,HexNAc(2)Hex(3),0.307808446,0.112101946,0.336305839,0.000267152,3,csf
N2H3F1,HexNAc(2)Hex(3)Fuc(1),-1.480567811,-0.539213707,-8.627419313,-0.006853392,16,csf
N2H3F1,HexNAc(2)Hex(3)Fuc(1),0,-2.83E-16,-2.83E-16,-7.54E-18,1,serum
N2H4,Hex(4)HexNAc(2),-20.60926369,-0.14124432,-231.49944,-0.002260384,1639,mouse-brain
N2H4,Hex(4)HexNAc(2),-2.485162503,-0.126895658,-57.35683742,-0.0002616,452,mouse-tissues
N2H4,Hex(4)HexNAc(2),-13.39365494,-0.074071327,-0.148142654,-1.73E-05,2,milk
N2H4,Hex(4)HexNAc(2),0,-1.19E-16,-1.19E-16,-9.43E-20,1,csf
N2H4F1,Hex(4)HexNAc(2)Fuc(1),-4.38291508,-0.223797394,-9.399490569,-4.29E-05,42,mouse-tissues
N2H4F1,Hex(4)HexNAc(2)Fuc(1),-2.742177931,-0.998684367,-3.994737469,-0.003173313,4,csf
N2H5,HexNAc(2)Hex(5),3.446822321,0.023622585,191.2011993,0.001866908,8094,mouse-brain
